Professor Name,Research Area,Biography,Research Interests,Education,doc_id
Aarti Sathyanarayana,Personal Health Informatics,"Aarti Sathyanarayana is an assistant professor in the Khoury College of Computer Sciences and the Bouvé College of Health Sciences at Northeastern University, based in Boston.",Digital health; Wearable devices; Digital phenotyping; Digital biomarker discovery,"PhD in Computer Science, University of Minnesota; MS in Computer Science, University of Minnesota; BS in Mathematics, University of Minnesota",1889
Abhi Shelat,Algorithms and Theory; Cybersecurity and Privacy,"Abhi Shelat is a professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Cryptography; Applied security,"PhD in Computer Science, Massachusetts Institute of Technology; MS in Computer Science, Massachusetts Institute of Technology; BA in Computer Science, Harvard University",1890
Ada Lerner,Cybersecurity and Privacy; Human-Centered Computing,"Ada Lerner is an assistant professor and the director of the BS in Cybersecurity program at the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Human–computer interaction; Security and privacy,"PhD in Computer Science and Engineering, University of Washington; MS in Computer Science and Engineering, University of Washington; BA in Computer Science, Amherst College",1891
Adeel Bhutta,Computer Science Education,Adeel A. Bhutta is an associate teaching professor at the Khoury College of Computer Sciences at Northeastern University.,Artificial intelligence; Machine learning; Software engineering; Computer science education,"PhD in Computer Engineering, University of Central Florida; MS in Computer Engineering, University of Central Florida; MS in Computer Science, University of Central Florida; BS in Electronic Engineering, GIK Institute — Pakistan",1892
Alan Mislove,Cybersecurity and Privacy; Systems and Networking,"Alan Mislove is a professor and the senior associate dean for academic affairs in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Network measurement; Networking; Online social networks; Security and privacy,"PhD in Computer Science, Rice University; MS in Computer Science, Rice University; BA in Computer Science, Rice University",1893
Albert Lionelle,Computer Science Education,Albert Lionelle is an associate teaching professor and the director of Align at the Khoury College of Computer Sciences at Northeastern University. He earned his bachelor's and his PhD degrees in computer science from Colorado State University.,Computer science education; Inclusive pedagogy; Grading practices; Learning and recall practices based in psychology; Learning analytics; Learning tools design,"PhD in Computer Science, Colorado State University; MS in Computer Science, Colorado State University; BS in Computer Science, Colorado State University",1894
Albert-László Barabási,Data Science; Network Science,"Albert-László Barabási is the Robert Gray Dodge Professor of Network Science and a Distinguished University Professor at Northeastern University, based in Boston. He directs the Center for Complex Network Research and holds appointments in the College of Science and the Khoury College of Computer Sciences.",Network science; Properties of sub-cellular networks in understanding human disease; Control theory,"PhD in Physics, Boston University; MS in Theoretical Physics, Eötvös Loránd University — Hungary; BS in Physics and Engineering, University of Bucharest — Romania",1895
Alessandro Vespignani,Data Science; Network Science,"Alessandro Vespignani is the Sternberg Distinguished University Professor at Northeastern University, based in Boston. He holds interdisciplinary appointments in the Khoury College of Computer Sciences, College of Science, and Bouvé College of Health Sciences.",Characterization and modeling of complex networks; Modeling the spatial spread of epidemics; Resilience of complex networks; Collective behavior of techno-social systems,"PhD in Physics, Sapienza University of Rome — Italy",1896
Alexandra To,Games; Human-Centered Computing,"Alexandra To is an assistant professor in the Khoury College of Computer Sciences and the College of Arts, Media and Design at Northeastern University, based in Boston.",,,1897
Alina Oprea,Artificial Intelligence; Cybersecurity and Privacy,"Alina Oprea is a professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Security analytics; Cloud security; Network security; Applied cryptography,"PhD in Computer Science, Carnegie Mellon University; MS in Computer Science, Carnegie Mellon University; BS in Mathematics and Computer Science, University of Bucharest — Romania",1898
Amal Ahmed,Programming Languages,"Amal Ahmed is a professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Programming languages; Correct and secure compilation; Gradual typing; Safe language interoperability,"PhD in Computer Science, Princeton University; MS in Computer Science, Stanford University; BA in Computer Science and Economics, Brown University",1899
Ariel Hamlin,Cybersecurity and Privacy,"Ariel Hamlin is an assistant teaching professor at the Khoury College of Computer Sciences at Northeastern University, based in Boston.",,"PhD in Computer Science, Northeastern University; BS in Computer Science and Civil Engineering, Tufts University",1900
Arjun Guha,Computer Science Education; Programming Languages; Software Engineering,"Arjun Guha is an associate professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Programming languages,"PhD in Computer Science, Brown University; BA in Computer Science, Grinnell College",1901
Benjamin Gyori,Computational Biology,"Benjamin M. Gyori is an associate professor in the Khoury College of Computer Sciences and the College of Engineering at Northeastern University, based in Boston.",,"PhD in Computational Biology, National University of Singapore; BSc in Computer Engineering, Budapest University of Technology and Economics — Hungary",1902
Benjamin Lerner,Computer Science Education,"Benjamin Lerner is an associate teaching professor at the Khoury College of Computer Sciences at Northeastern University. He earned his doctorate in computer science at the University of Washington, Seattle and his bachelor’s in computer science and mathematics at Yale University. At Northeastern, Lerner teaches Fundamentals of Computer Science, Object-Oriented Design, and Compilers. He received awards for CCIS Teacher of the Year and University Excellence in Teaching in 2017. In the past, Lerner worked for Microsoft and MSR, and has taught at the Johns Hopkins Center for Talented Youth Program.",Programming languages; Computer science education,"PhD in Computer Science, University of Washington; BS in Computer Science and Mathematics, Yale University",1903
Bob De Schutter,Games,"Bob De Schutter is an associate professor in the Khoury College of Computer Sciences and the College of Arts, Media and Design at Northeastern University, based in Boston.",Game design and development; Independent video games; Serious games; Player motivation; Aging,"PhD in Social Science, Katholieke Universiteit Leuven — Belgium; MA in Visual Arts, Karel De Grote University College — Belgium",1904
Brianna Dym,Games; Human-Centered Computing,"Brianna Dym is an assistant teaching professor in the Khoury College of Computer Sciences at Northeastern University, based at the Roux Institute in Portland, Maine.",,"PhD in Information Science, University of Colorado Boulder; MA in English, University of Alaska; BA in English Education, University of Alaska",1905
Bruce Maxwell,Artificial Intelligence,"Bruce Maxwell is a teaching professor and assistant director of computing programs at Northeastern University’s Seattle campus. He earned both his bachelor’s degrees in political science and engineering from Swarthmore College, his master of philosophy in computer speech and natural language processing from the University of Cambridge, and his PhD in robotics from Carnegie Mellon University. His areas of teaching include computer vision, computer graphics, robotics, machine learning, and more.",Computer vision; Machine learning; Robotics; Data science,"PhD in Robotics, Carnegie Mellon University; MPhil in Computer Speech and Natural Language Processing, University of Cambridge; BS in Engineering, Swarthmore College; BA in Political Science, Swarthmore College",1906
Byron Wallace,Artificial Intelligence; Natural Language Processing,"Byron Wallace is an associate dean of graduate programs, director for the undergraduate data science program, and the Sy and Laurie Sternberg Interdisciplinary Associate Professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Data mining; Machine learning; Natural language processing,"PhD in Computer Science, Tufts University; BS in Computer Science, University of Massachusetts at Amherst",1907
Caglar Yildirim,Data Visualization; Human-Centered Computing,"Caglar Yildirim is an associate teaching professor at the Khoury College of Computer Sciences at Northeastern University. His research focuses on human-computer interaction, mixed reality, data visualization, games, and applied machine learning. Yildirim is a member of the Data Visualization Lab and has served on the Khoury Undergraduate Curriculum Committee and the Khoury MSCS Curriculum Committee at Northeastern.",Human-computer interaction; Applied machine learning; Data visualization; Games,"PhD in Human-Computer Interaction, Iowa State University; MS in Human-Computer Interaction, Iowa State University",1908
Carla E. Brodley,Computer Science Education,Carla E. Brodley is the dean of inclusive computing and the founding executive director of the Center for Inclusive Computing (CIC) at Northeastern University. She is the dean emeritus of the Khoury College of Computer Sciences.,Computing education research; Broadening participation in computing; University administration,"PhD in Computer Science, University of Massachusetts at Amherst; MS in Computer Science, University of Massachusetts at Amherst; BA in Mathematics and Computer Science, McGill University — Canada",1909
Cheng Tan,Cybersecurity and Privacy; Data Management; Data Science; Systems and Networking,"Cheng Tan is an assistant professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Computer systems; Systems and networking; Security; Operating systems,"PhD in Computer Science, New York University; MS in Software Engineering, Fudan University — China; BE in Software Engineering, Nanjing University — China",1910
Chenyan Jia,Human-Centered Computing,"Chenyan Jia is an assistant professor in the Khoury College of Computer Sciences and the College of Arts, Media and Design at Northeastern University, based in Boston.",,"PhD in Journalism and Media, The University of Texas at Austin; MA in Communication, Peking University — China; BA in Communication, Huazhong University of Science and Technology — China; BA in English (dual degree), Wuhan University — China",1911
Chieh Wu,Machine Learning,"Chieh Wu is an associate professor at the Khoury College of Computer Sciences at Northeastern University, based in Boston.",,"PhD in Big Data and Machine Learning, Northeastern University; MS in Electrical Engineering, Northeastern University; BS in Electrical Engineering, Pennsylvania State University",1912
Chris Le Dantec,Human-Centered Computing,"Christopher Le Dantec is a professor and the director of digital civics in the Khoury College of Computer Sciences and the College of Arts, Media and Design at Northeastern University, based in Boston.",,"PhD in Human-centered Computing, Georgia Institute of Technology; BS in Computer Engineering, University of Arizona",1913
Chris Martens,Games; Programming Languages,"Chris Martens is an associate professor in the Khoury College of Computer Sciences and the College of Arts, Media and Design at Northeastern University, based in Boston.",,"PhD in Computer Science, Carnegie Mellon University; BS in Computer Science, Carnegie Mellon University",1914
Christo Wilson,Cybersecurity and Privacy; Human-Centered Computing,"Christo Wilson is a professor and the associate dean of undergraduate programs in the Khoury College of Computer Sciences at Northeastern University, based in Boston. He is a founding member of Northeastern's Cybersecurity and Privacy Institute.","Algorithm auditing, specifically the fairness of black-box algorithmic systems are; Online tracking and privacy; Public key infrastructures like SSL/TLS and DNSSEC","PhD in Computer Science, University of California, Santa Barbara; MS in Computer Science, University of California, Santa Barbara; BS in Computer Science, University of California, Santa Barbara",1915
Christoph Riedl,Data Science; Network Science,"Christoph Riedl is a professor in the D’Amore-McKim School of Business and the Khoury College of Computer Sciences at Northeastern University, based in Boston. He is a core faculty member at the Network Science Institute and an affiliate at Harvard Business School's Institute for Quantitative Social Science, where he completed his postdoctoral fellowship.",Collective intelligence; Human–AI teaming; Crowdsourcing; Social influence/peer effects in social networks,"PhD in Information Systems, Technische University at Munchen — Germany; MS in Information Systems, Technische University at Munchen — Germany; BS in Computer Science, Technische University at Munchen — Germany",1916
Christopher Amato,Artificial Intelligence; Machine Learning; Robotics,"Christopher Amato is an associate professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Artificial intelligence; Machine learning; Robotics,"PhD in Computer Science, University of Massachusetts, Amherst; MS in Computer Science, University of Massachusetts, Amherst; BA in Clinical Psychology and Philosophy, Tufts University",1917
Cliff Forlines,Data Visualization,"Clifton Forlines is an associate research professor in the Khoury College of Computer Sciences at Northeastern University, based in Portland, Maine.",Human–computer interaction; Data science; Data visualization; Virtual reality; Augmented reality; Extended reality,"PhD in Computer Science, University of Toronto — Canada; MS in Human-Computer Interaction, Carnegie Mellon University; MS in Entertainment Technology, Carnegie Mellon University; BFA in Industrial Design, Carnegie Mellon University",1918
Cody Dunne,Data Visualization,"Cody Dunne is an associate professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Information visualization; Visual analytics; Graph and network visualization; Data workflows; Data and analytic provenance; Human–computer interaction; Personal health informatics,"PhD in Computer Science, University of Maryland; MS in Computer Science, University of Maryland; BA in Computer Science and Mathematics, Cornell College",1919
Cristina Nita-Rotaru,Cybersecurity and Privacy; Systems and Networking,"Cristina Nita-Rotaru is a professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston. She is a founding member of Northeastern's Cybersecurity and Privacy Institute.",Distributed systems and network security; Insider-resilient systems; Analytics for security and fault tolerance; Automated testing and verification,"PhD, Johns Hopkins University; MS, Politechnica University of Bucharest — Romania; BS, Politechnica University of Bucharest —Romania",1920
Dakuo Wang,Artificial Intelligence; Data Visualization; Games; Human-Centered Computing; Machine Learning; Personal Health Informatics; Software Engineering,"Dakuo Wang is an associate professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Human–computer interaction; Human–AI collaboration; Natural language processing; Health informatics; Data science; Computer-supported cooperative work,"PhD in Informatics, UC Irvine; MS in Computer and Information Sciences, UC Irvine; MS in Electrical Engineering, UC Irvine; BS in Computer Science, Beijing University of Technology — China",1921
Daniel Patterson,Programming Languages,"Daniel Patterson is an assistant teaching professor at the Khoury College of Computer Sciences at Northeastern University. He earned his bachelor’s from Brown University and his PhD from Northeastern University. He is broadly interested in the first few years of the curriculum: how we help a person get from no experience with Computer Science or programming to be able to have a productive first co-op. His background is in programming languages, and that influences how he approaches Fundamentals 1 & 2, which are at their core about teaching students how to use the fundamental tool of computer science: the programming language. Patterson is also interested in logic and specification, and how that can enable students to reason more effectively about the programs they write: potentially starting from the second semester, with Logic & Computation.",Computer science education logic and specification; Formal methods; Programming languages,"PhD, Northeastern University; BS, Brown University",1922
Daniel Wichs,Algorithms and Theory; Cybersecurity and Privacy,"Daniel Wichs is a professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Modern cryptography; Information security,"PhD in Computer Science, New York University; MS in Computer Science, Stanford University; BS in Mathematics, Stanford University",1923
David Bau,Artificial Intelligence; Machine Learning; Natural Language Processing,"David Bau is an assistant professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Machine learning; Computer vision; Artificial intelligence; Natural language processing; Human–computer interaction,"PhD in Computer Science, Massachusetts Institute of Technology; MS in Computer Science, Cornell University; AB in Mathematics, Harvard University",1924
David Choffnes,Cybersecurity and Privacy; Systems and Networking,"David Choffnes is an associate professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston. He is the executive director and a founding member of Northeastern's Cybersecurity and Privacy Institute, which aims to safeguard critical technology by forging partnerships with industry leaders and international academics.","Distributed systems; Networking; Privacy and security; Measuring deployed Internet-scale systems (including mobile and IoT); Designing solutions to address problems with reliability, efficiency, and security","PhD in Computer Science, Northwestern University; MS in Computer Science, Northwestern University; BA in Physics and French, Amherst College",1925
David Lazer,Data Science; Network Science,"David Lazer is a University Distinguished Professor of political science and computer science at Northeastern University, jointly appointed between the Khoury College of Computer Sciences and the College of Social Sciences and Humanities.",Computational social science; Network science; Collective cognition; Political networks and deliberative democracy; Social media and social influence in networks; Predictive modeling,"PhD in Political Science, University of Michigan; BA in Economics, Wesleyan University",1926
David Smith,Machine Learning; Natural Language Processing,"David A. Smith is an associate professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston. He is a founding member of the NULab for Texts, Maps, and Networks, Northeastern University’s center for the digital humanities and computational social sciences.","Efficient inference for machine learning models with complex latent structure; Modeling natural language structures, such as morphology, syntax, and semantics; Modeling the mutations in texts as they propagate through social networks and in language across space and time; Interactive information retrieval and machine learning for expert users","PhD in Computer Science, Johns Hopkins University; BA in Classics, Harvard University",1927
Divya Chaudhary,Machine Learning,"Divya Chaudhary is an assistant teaching professor in the Khoury College of Computer Sciences at Northeastern University, based in Seattle.",Artificial intelligence; Data science; Machine learning; Natural language processing and information retrieval; Personal health informatics,"PhD in Computer Engineering, University of Delhi — India; MTech in Computer Science, Maharshi Dayanand University — India; BTech in Information Technology, Maharshi Dayanand University — India",1928
Don Fallis,Human-Centered Computing,"Don Fallis is a professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston. He is jointly appointed with the College of Social Sciences and Humanities.",Epistemology; Philosophy of information; Philosophy of mathematics,"PhD in Philosophy, University of California, Irvine; MA in Philosophy, University of California, Irvine; BA in Philosophy, University of California, Irvine; BA in Psychology, University of California, Irvine",1929
Ehsan Elhamifar,Artificial Intelligence; Machine Learning,"Ehsan Elhamifar is an associate professor and director of the master’s in AI program in the Khoury College of Computer Sciences at Northeastern University, based in Boston. He is affiliated with the College of Engineering.",Artificial intelligence; Computer vision; Machine learning,"PhD in Electrical and Computer Engineering, Johns Hopkins University; MS in Engineering, Johns Hopkins University; MS in Electrical Engineering, Sharif University of Technology — Iran; BS in Biomedical Engineering, Amirkabir University of Technology — Iran",1930
Elizabeth Mynatt,Human-Centered Computing; Personal Health Informatics,"Elizabeth Mynatt is the Dean of Khoury College of Computer Sciences. She joined Northeastern University in January 2022 after a 23-year career at Georgia Institute of Technology (Georgia Tech), where she most recently served as Regents’ and Distinguished Professor in the College of Computing and executive director of the Institute of People and Technology.",Health informatics; Human computer interaction; Ubiquitous computing,"PhD in Computer Science, Georgia Institute of Technology; MS in Computer Science, Georgia Institute of Technology; BS in Computer Science, summa cum laude, North Carolina State University",1931
Emanuele Viola,Algorithms and Theory,"Emanuele Viola is a professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Theoretical computer science,"PhD in Computer Science, Harvard University; BS in Computer Science, La Sapienza University — Italy",1932
Engin Kirda,Cybersecurity and Privacy; Systems and Networking,"Engin Kirda is a professor in the Khoury College of Computer Sciences and the College of Engineering at Northeastern University, based in Boston.","Systems, software, and network security; Web security; Binary analysis; Malware detection","PhD in Computer Science, Technical University of Vienna — Austria; MS in Computer Science, Technical University of Vienna — Austria; BS in Computer Science, Technical University of Vienna — Austria",1933
Enrico Bertini,Data Visualization,"Enrico Bertini is an associate professor in the Khoury College of Computer Science and the College of Arts, Media and Design at Northeastern University, based in Boston.",Visualization; Machine learning,"PhD in Computer Engineering, University of Rome, La Sapienza — Italy",1934
Eric Gerber,Data Science,"Eric Gerber is an assistant teaching professor in the fields of data science and statistics at the Khoury College of Computer Sciences at Northeastern University. He earned his bachelor’s in both international studies and mathematics from University of North Caroline Asheville, and his master’s and doctorate degrees in statistics from Purdue University.",Sports analytics; Bayesian hierarchical models; Predictive modeling,"PhD in Statistics, Purdue University; MS in Applied Statistics, Purdue University; BA in Mathematics (Statistics) , University of North Carolina Asheville; BA in Interdisciplinary Studies (International Studies), University of North Carolina Asheville",1935
Fatemeh Ghoreishi,Data Science,"Seyede Fatemeh Ghoreishi is an assistant professor in the Khoury College of Computer Sciences and the College of Engineering at Northeastern University, based in Boston.",Machine learning; Artificial intelligence; Robotics; Bayesian statistics; Design under uncertainty; Stochastic optimization,"PhD in Mechanical Engineering, Texas A&M University; MSc in Mechanical Engineering, Texas A&M University; MSc in Biomedical Engineering, Iran University of Science and Technology; BS in Mechanical Engineering, University of Tehran — Iran",1936
Felix Muzny,Computer Science Education,"Felix Muzny is the director of teaching assistants, a clinical instructor, and a doctoral student at the Khoury College of Computer Sciences at Northeastern University, based in Boston.",,"MS in Computer Science, Stanford University; BS in Computer Science, University of Washington; BA in English, University of Washington",1937
Frank Tip,Programming Languages; Software Engineering,"Frank Tip is a professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston. He was named an Amazon Scholar in 2024.",Programming languages; Software engineering,"PhD in Computer Science, University of Amsterdam — Netherlands",1938
Gene Cooperman,Formal Methods; Systems and Networking,"Gene Cooperman is a professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston. He is an affiliated faculty member in the College of Engineering.","Fault tolerance and transparent checkpointing; Supercomputing, parallel computing, cloud computing; Formal verification; Cybersecurity","PhD in Applied Mathematics, Brown University; BS in Mathematics and Physics, University of Michigan",1939
Guevara Noubir,Systems and Networking,"Guevara Noubir is a professor and the executive director of cybersecurity programs in the Khoury College of Computer Sciences at Northeastern University, based in Boston. He is also the principal investigator of Northeastern University’s NSA/DHS-designated Center of Academic Excellence in Cybersecurity.",Theory and practice of privacy and security; Robustness of networked systems,"PhD in computer science, Swiss Federal Institute of Technology, Lausanne — Switzerland",1940
Herman Saksono,Human-Centered Computing; Personal Health Informatics,"Herman Saksono is an assistant professor in the Khoury College of Computer Sciences and the Bouvé College of Health Sciences at Northeastern University, based in Boston.",Human-centered computing; Personal health informatics,"PhD in Computer Science, Northeastern University; MS in Computer Science, Northeastern University; BE in Electrical Engineering, Universitas Gadjah Mada — Indonesia",1941
Holly Jimison,Personal Health Informatics,"Holly B. Jimison is a professor of the practice in the Khoury College of Computer Sciences and the Bouvé College of Health Sciences at Northeastern University, based in Boston.",Personal health informatics; Pattern recognition; Decision support; Consumer health informatics,"PhD in Medical Information Sciences, Stanford University; BS in Mathematics, University of Illinois",1942
Hongyang Zhang,Algorithms and Theory; Machine Learning,"Hongyang (Ryan) Zhang is an assistant professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.","Machine learning; Design and analysis of algorithms; Learning theory; Data, data augmentation, and networks; Language modeling","Postdoctorate in Statistics and Data Science, University of Pennsylvania; PhD in Computer Science, Stanford University; BEng in Computer Science, Shanghai Jiao Tong University — China",1943
Huaizu Jiang,Machine Learning; Robotics,"Huaizu Jiang is an assistant professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Computer vision; Computational photography; Machine learning,"PhD in Computer Science, University of Massachusetts, Amherst; MEng in Intelligent System and Pattern Recognition, Xi'an Jiaotong University — China; BEng in Electrical Engineering, Xi'an Jiaotong University — China",1944
Huy Lê Nguyen,Algorithms and Theory; Machine Learning,"Huy Lê Nguyen is an associate professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Algorithmic techniques for massive data sets; Optimization; Machine learning,"PhD in Computer Science, Princeton University; MEng in Computer Science, Massachusetts Institute of Technology; BS in Computer Science and Mathematics, Massachusetts Institute of Technology",1945
Ian Gorton,Software Engineering,"Ian Gorton is a professor of the practice and the director of mobility programs in the Khoury College of Computer Sciences at Northeastern University, based in Seattle.",,"PhD in Computer Science, Sheffield Hallam University — United Kingdom; BS, Sheffield Hallam University — United Kingdom",1946
Ilmi Yoon,Computer Science Education; Human-Centered Computing,"Ilmi Yoon is a teaching professor and a director of computing programs in the Khoury College of Computer Sciences at Northeastern University, based in Silicon Valley.",Artificial intelligence; Computational biology; Human-computer interaction; Machine learning,"PhD in Computer Graphics, University of Southern California; MS in Computer Science, University of Southern California; BS in Computer Science, Yonsei University — South Korea",1947
Jan Vitek,Software Engineering,"Jan Vitek is a professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Programming languages; Compilers; Program analysis; Memory management; Virtual machine; Type systems,"PhD in information systems, University of Geneva — Switzerland; MS in computer science, University of Victoria — Canada",1948
Javed Aslam,Artificial Intelligence; Data Science; Natural Language Processing,"Javed Aslam is chief of artificial intelligence and a professor at the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Machine learning; Information retrieval; Applications of statistics and information theory,"PhD in Computer Science, Massachusetts Institute of Technology; MS in Computer Science, Massachusetts Institute of Technology; BS in Electrical Engineering, University of Notre Dame",1949
Jennifer Dy,Artificial Intelligence; Machine Learning,"Jennifer G. Dy is an associate professor in the College of Engineering at Northeastern University, with a courtesy appointment in the Khoury College of Computer Sciences.",Machine learning; Data mining; Statistical pattern recognition; Computer vision; Image processing,"PhD in Electrical and Computer engineering, Purdue University; MS in Electrical and Computer engineering, Purdue University; BS in Electrical Engineering, University of the Philippines",1950
Jeongkyu Lee,Computer Science Education,"Jeongkyu Lee is a teaching professor at the Khoury College of Computer Sciences at Northeastern University’s Silicon Valley campus. He earned his bachelor’s in mathematics from Sungkyunkwan University, master’s in computer science from Sogang University, and PhD in computer science and engineering from the University of Texas at Arlington. His areas of teaching include big data, NoSQL database, Python, and statistics.",Big data; Machine learning; Robotics; Computer vision; Database systems; Data visualization; Deep learning,"PhD in Computer Science and Engineering, University of Texas at Arlington; MS in Computer Science, Sogang University; BS in Mathematics, Sungkyunkwan University",1951
Jessica Staddon,Cybersecurity and Privacy; Human-Centered Computing,"Jessica Staddon is a professor of the practice in the Khoury College of Computer Sciences at Northeastern University, based in Oakland.",Security and privacy; Online safety; Human–computer interaction,"PhD in Math, UC Berkeley; BA in Applied Math, UC Berkeley",1952
Ji-Yong Shin,Formal Methods; Systems and Networking,"Ji-Yong Shin is an assistant professor in the Khoury College of Computer Sciences, based in Boston.",Distributed systems; Formal verification; Cloud storage systems; Operating systems,"PhD in Computer Science, Cornell University; MS in Computer Science, Korea Advanced Institute of Science and Technology — South Korea; BS in Computer Science and Industrial Engineering, Yonsei University — South Korea",1953
John Alexis Guerra Gomez,Data Visualization,John Alexis Guerra Gómez is an associate teaching professor at the Khoury College of Computer Sciences at Northeastern University's Silicon Valley campus.,Visual analytics; Accessibility; Big data; Human-computer interaction; Web development,"PhD in Computer Science, University of Maryland; MS in Mathematical Computing, Universidad Tecnológica de Pereira – Colombia; BS in Computer Science, Universidad Tecnológica de Pereira – Colombia",1954
Jonathan Bell,Programming Languages; Software Engineering,"Jonathan Bell is an associate professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston. He is a member of the Programming Research Laboratory.",Software engineering; Program analysis; Automated approaches to help developers write better software,"PhD in Computer Science, Columbia University; MPhil in Computer Science, Columbia University; MS in Computer Science, Columbia University; BS in Computer Science, Columbia University",1955
Jonathan Mwaura,Machine Learning,"Jonathan Mwaura is an associate teaching professor at the Khoury College of Computer Sciences at Northeastern University. He teaches introductory mathematics courses, algorithms, artificial intelligence and machine learning.",Evolutionary computation; Multimodal optimization; Robotics,"PhD in Computer Science, University of Exeter – UK; BS in Computer Science, Kenyatta University – Kenya",1956
Jonathan Ullman,Algorithms and Theory; Cybersecurity and Privacy,"Jonathan Ullman is an associate professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Privacy; Machine learning and statistics; Cryptography; Algorithms,"PhD in Computer Science, Harvard University; BSE in Computer Science, Princeton University",1957
Jose Perea,Artificial Intelligence,"Jose Perea is an associate professor in the Khoury College of Computer Sciences and the College of Science at Northeastern University, based in Boston.",Data science; Machine learning; Algorithms and theory,"PhD in Mathematics, Stanford University; BS in Mathematics, Universidad del Valle — Colombia",1958
Joshua Gancher,Cybersecurity and Privacy; Formal Methods; Programming Languages,"Joshua Gancher is an assistant professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Formal methods; Programming languages; Security and privacy,"PhD in Computer Science, Cornell University; BA in Mathematics, Reed College",1959
Karl Lieberherr,Software Engineering,"Karl Lieberherr is a professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Modularity in software development; Test-driven development for relational queries using neural networks; Socio-technical systems for problem solving in STEM areas involving competition and collaboration,"PhD, ETH Zurich — Switzerland; MS in mathematics, ETH Zurich — Switzerland",1960
