Professor Name,Profile URL,Biography,Research Interests,Education,doc_id
Gene Cooperman,https://www.khoury.northeastern.edu/people/gene-cooperman/,"Gene Cooperman is a professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston. He is an affiliated faculty member in the College of Engineering.","Fault tolerance and transparent checkpointing; Supercomputing, parallel computing, cloud computing; Formal verification; Cybersecurity","PhD in Applied Mathematics, Brown University; BS in Mathematics and Physics, University of Michigan",1981
Steve Holtzen,https://www.khoury.northeastern.edu/people/steve-holtzen/,"Steve Holtzen is an assistant professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Artificial intelligence; Programming languages; Formal methods,"PhD in Computer Science, UCLA; MS in Computer Science, UCLA; BS in Computer Science, UCLA",1982
Panagiotis (Pete) Manolios,https://www.khoury.northeastern.edu/people/panagiotis-manolios/,"Pete Manolios is a professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston. He leads the computer-aided reasoning group.","Computer-aided modeling, verification, analysis, and synthesis of systems; Formal methods; Distributed computing; Programming languages; Software engineering; Aerospace","PhD in computer science, University of Texas at Austin; BS in computer science, Brooklyn College",1983
Ji-Yong Shin,https://www.khoury.northeastern.edu/people/ji-yong-shin/,"Ji-Yong Shin is an assistant professor in the Khoury College of Computer Sciences, based in Boston.",Distributed systems; Formal verification; Cloud storage systems; Operating systems,"PhD in Computer Science, Cornell University; MS in Computer Science, Korea Advanced Institute of Science and Technology — South Korea; BS in Computer Science and Industrial Engineering, Yonsei University — South Korea",1984
Stavros Tripakis,https://www.khoury.northeastern.edu/people/stavros-tripakis/,"Stavros Tripakis is an associate professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Foundations of software and system design; Computer-aided verification and synthesis; Cyber-physical systems,"PhD in Computer Science, Joseph Fourier University — France; MS in Computer Science, Ecole Normale Superieure — France; BS in Computer Science, University of Crete — Greece",1985
Seth Cooper,https://www.khoury.northeastern.edu/people/seth-cooper/,"Seth Cooper is an associate professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Tools for assisting game design and development; Interfaces for problem-solving; Scientific discovery games; Crowdsourcing games; Serious games; Citizen science,"PhD in Computer Science and Engineering, University of Washington; MS in Computer Science and Engineering, University of Washington; BS in Electrical Engineering and Computer Science, University of California, Berkeley",1986
Bob De Schutter,https://www.khoury.northeastern.edu/people/bob-de-schutter/,"Bob De Schutter is an associate professor in the Khoury College of Computer Sciences and the College of Arts, Media and Design at Northeastern University, based in Boston.",Game design and development; Independent video games; Serious games; Player motivation; Aging,"PhD in Social Science, Katholieke Universiteit Leuven — Belgium; MA in Visual Arts, Karel De Grote University College — Belgium",1987
Brianna Dym,https://www.khoury.northeastern.edu/people/brianna-dym/,"Brianna Dym is an assistant teaching professor in the Khoury College of Computer Sciences at Northeastern University, based at the Roux Institute in Portland, Maine.",,"PhD in Information Science, University of Colorado Boulder; MA in English, University of Alaska; BA in English Education, University of Alaska",1988
Wallace Lages,https://www.khoury.northeastern.edu/people/wallace-lages/,"Wallace Lages is an assistant professor in the Khoury College of Computer Sciences and the College of Arts, Media and Design at Northeastern University, based in Boston.",AR/VR applications; User experience,"PhD in Computer Science, Virginia Tech; MS in Computer Science, Universidade Federal de Minas Gerais — Brazil; BS in Computer Science, Universidade Federal de Minas Gerais — Brazil",1989
Chris Martens,https://www.khoury.northeastern.edu/people/chris-martens/,"Chris Martens is an associate professor in the Khoury College of Computer Sciences and the College of Arts, Media and Design at Northeastern University, based in Boston.",,"PhD in Computer Science, Carnegie Mellon University; BS in Computer Science, Carnegie Mellon University",1990
Alexandra To,https://www.khoury.northeastern.edu/people/alexandra-to/,"Alexandra To is an assistant professor in the Khoury College of Computer Sciences and the College of Arts, Media and Design at Northeastern University, based in Boston.",,,1991
Timothy W. Bickmore,https://www.khoury.northeastern.edu/people/timothy-bickmore/,"Timothy Bickmore is a professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston. He served as the college's associate dean of research from 2017 to 2022.",Human–computer interaction; Dialogue systems; Intelligent virtual agents; Avatars; Personal health informatics; Human–robot interaction,"PhD in Media Arts and Sciences, Massachusetts Institute of Technology; MS in Computer Science, Arizona State University; BSE in Computer Systems Engineering, Arizona State University",1992
Kathleen (Katie) Creel,https://www.khoury.northeastern.edu/people/kathleen-katie-creel/,"Kathleen Creel is an assistant professor at Northeastern University, holding joint appointments in the College of Social Sciences and Humanities and Khoury College of Computer Sciences, based in Boston. Her research explores the moral, political, and epistemic implications of machine learning as it is used in automated decision-making and in science. Before joining Northeastern, Creel was the Embedded Ethics fellow in the Center for Ethics in Society and the Institute for Human-Centered Artificial Intelligence at Stanford University. In this role, she worked with the Stanford Computer Science department to embed ethics in the core curriculum. Creel worked as a software engineer at MIT Lincoln Laboratory and subsequently pursued her doctorate in history and philosophy of science from the University of Pittsburgh.Creel’s research has been recognized with FAccT’s Best Paper Award, IACAP’s Herbert A. Simon Award for Outstanding Research in Computing and Philosophy, and the Philosophy of Science Association’s Ernst Nagel Early Career Scholar Essay Award.","Algorithmic fairness, transparency, and explanation; Monoculture and homogeneity due to use of AI; Philosophy of science and science of science","PhD in History and Philosophy of Science, University of Pittsburgh; MA in Philosophy, Simon Fraser University — Canada; BA in Computer Science and Philosophy, Williams College",1993
Maitraye Das,https://www.khoury.northeastern.edu/people/maitraye-das/,"Maitraye Das is an assistant professor in the Khoury College of Computer Sciences and the College of Arts, Media and Design at Northeastern University, based in Boston.",Accessible computing; Collaborative computing; Human–computer interaction,"PhD in technology and social behavior, Northwestern University; MS in technology and social behavior, Northwestern University; BS in computer science and engineering, Bangladesh University of Engineering and Technology",1994
Don Fallis,https://www.khoury.northeastern.edu/people/don-fallis/,"Don Fallis is a professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston. He is jointly appointed with the College of Social Sciences and Humanities.",Epistemology; Philosophy of information; Philosophy of mathematics,"PhD in Philosophy, University of California, Irvine; MA in Philosophy, University of California, Irvine; BA in Philosophy, University of California, Irvine; BA in Psychology, University of California, Irvine",1995
Matthew Goodwin,https://www.khoury.northeastern.edu/people/matthew-goodwin/,"Matthew S. Goodwin is a professor in the Khoury College of Computer Sciences and the Bouvé College of Health Sciences at Northeastern University, based in Boston.",Ambulatory psychophysiology; Autism spectrum disorder; Digital signal processing; Machine learning; Personal health informatics,"Postdoctorate in Affective Computing, Massachusetts Institute of Technology; PhD in Behavioral Science, University of Rhode Island; MA in Experimental Psychology, University of Rhode Island; BA in Psychology, Wheaton College",1996
Megan Hofmann,https://www.khoury.northeastern.edu/people/megan-hofmann/,"Megan Hofmann is an assistant professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Human–computer interaction; Personal health informatics; Accessibility; Digital fabrication,"PhD in Human–Computer Interaction, Carnegie Mellon University; MS in Human–Computer Interaction, Carnegie Mellon University; BS in Computer Science, Colorado State University",1997
Stephen Intille,https://www.khoury.northeastern.edu/people/stephen-intille/,"Stephen Intille is a professor in the Khoury College of Computer Sciences and the Bouvé College of Health Sciences at Northeastern University, based in Boston.","Personal health informatics; Interactive, mobile sensing; Machine learning; Behavioral theory and measurement","PhD in Media Arts and Sciences, Massachusetts Institute of Technology; SM in Media Arts and Sciences, Massachusetts Institute of Technology; BSE in Computer Science and Engineering, University of Pennsylvania",1998
Chenyan Jia,https://www.khoury.northeastern.edu/people/chenyan-jia/,"Chenyan Jia is an assistant professor in the Khoury College of Computer Sciences and the College of Arts, Media and Design at Northeastern University, based in Boston.",,"PhD in Journalism and Media, The University of Texas at Austin; MA in Communication, Peking University — China; BA in Communication, Huazhong University of Science and Technology — China; BA in English (dual degree), Wuhan University — China",1999
Rébecca Kleinberger,https://www.khoury.northeastern.edu/people/rebecca-kleinberger/,"Rebecca Kleinberger is an assistant professor in the Khoury College of Computer Sciences and the College of Arts, Media and Design at Northeastern University, based in Boston.",Animal–computer interaction; Technological enrichment for zoo animals; Human–computer interaction; Voice technology; Assistive technology; Music technology,"PhD in Media Arts and Sciences, Massachusetts Institute of Technology; MS in Media Arts and Sciences, Massachusetts Institute of Technology; MS in VR and Computer Graphics, University College London — United Kingdom; MS in Mechanical Engineering, Ecole National Supérieure des Arts et Métiers — France",2000
Chris Le Dantec,https://www.khoury.northeastern.edu/people/chris-le-dantec/,"Christopher Le Dantec is a professor and the director of digital civics in the Khoury College of Computer Sciences and the College of Arts, Media and Design at Northeastern University, based in Boston.",,"PhD in Human-centered Computing, Georgia Institute of Technology; BS in Computer Engineering, University of Arizona",2001
Stacy C. Marsella,https://www.khoury.northeastern.edu/people/stacy-c-marsella/,"Stacy Marsella is a professor in the Khoury College of Computer Sciences and the College of Science at Northeastern University, based in Boston.","Human behavior modeling, particularly health applications","PhD in Computer Science, Rutgers University; MS in Computer Science, Worcester Polytechnic Institute; BA in Economics, Harvard University",2002
Elizabeth Mynatt,https://www.khoury.northeastern.edu/people/elizabeth-mynatt/,"Elizabeth Mynatt is the Dean of Khoury College of Computer Sciences. She joined Northeastern University in January 2022 after a 23-year career at Georgia Institute of Technology (Georgia Tech), where she most recently served as Regents’ and Distinguished Professor in the College of Computing and executive director of the Institute of People and Technology.",Health informatics; Human computer interaction; Ubiquitous computing,"PhD in Computer Science, Georgia Institute of Technology; MS in Computer Science, Georgia Institute of Technology; BS in Computer Science, summa cum laude, North Carolina State University",2003
Rupal Patel,https://www.khoury.northeastern.edu/people/rupal-patel/,"Rupal Patel is a professor in the Khoury College of Computer Sciences and the Bouvé College of Health Sciences at Northeastern University, based in Boston. She is a founding member of the doctoral program in personal health informatics and the founder and director of the Communication Analysis and Design Laboratory (CadLab).",Speech acoustics and analytics; Design and development of assistive communication technology; Speech motor control in neuromotor disorders; Typical speech development,"Postdoc, Massachusetts Institute of Technology; PhD in Speech Language Pathology, University of Toronto — Canada; MHSc in Speech Language Pathology, University of Toronto — Canada; BSc in Neuropsychology, University of Calgary — Canada",2004
Herman Saksono,https://www.khoury.northeastern.edu/people/herman-saksono/,"Herman Saksono is an assistant professor in the Khoury College of Computer Sciences and the Bouvé College of Health Sciences at Northeastern University, based in Boston.",Human-centered computing; Personal health informatics,"PhD in Computer Science, Northeastern University; MS in Computer Science, Northeastern University; BE in Electrical Engineering, Universitas Gadjah Mada — Indonesia",2005
Divya Chaudhary,https://www.khoury.northeastern.edu/people/divya-chaudhary/,"Divya Chaudhary is an assistant teaching professor in the Khoury College of Computer Sciences at Northeastern University, based in Seattle.",Artificial intelligence; Data science; Machine learning; Natural language processing and information retrieval; Personal health informatics,"PhD in Computer Engineering, University of Delhi — India; MTech in Computer Science, Maharshi Dayanand University — India; BTech in Information Technology, Maharshi Dayanand University — India",2006
Huaizu Jiang,https://www.khoury.northeastern.edu/people/huaizu-jiang/,"Huaizu Jiang is an assistant professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Computer vision; Computational photography; Machine learning,"PhD in Computer Science, University of Massachusetts, Amherst; MEng in Intelligent System and Pattern Recognition, Xi'an Jiaotong University — China; BEng in Electrical Engineering, Xi'an Jiaotong University — China",2007
Jonathan Mwaura,https://www.khoury.northeastern.edu/people/jonathan-mwaura/,"Jonathan Mwaura is an associate teaching professor at the Khoury College of Computer Sciences at Northeastern University. He teaches introductory mathematics courses, algorithms, artificial intelligence and machine learning.",Evolutionary computation; Multimodal optimization; Robotics,"PhD in Computer Science, University of Exeter – UK; BS in Computer Science, Kenyatta University – Kenya",2008
David Smith,https://www.khoury.northeastern.edu/people/david-smith/,"David A. Smith is an associate professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston. He is a founding member of the NULab for Texts, Maps, and Networks, Northeastern University’s center for the digital humanities and computational social sciences.","Efficient inference for machine learning models with complex latent structure; Modeling natural language structures, such as morphology, syntax, and semantics; Modeling the mutations in texts as they propagate through social networks and in language across space and time; Interactive information retrieval and machine learning for expert users","PhD in Computer Science, Johns Hopkins University; BA in Classics, Harvard University",2009
Chieh Wu,https://www.khoury.northeastern.edu/people/chieh-wu/,"Chieh Wu is an associate professor at the Khoury College of Computer Sciences at Northeastern University, based in Boston.",,"PhD in Big Data and Machine Learning, Northeastern University; MS in Electrical Engineering, Northeastern University; BS in Electrical Engineering, Pennsylvania State University",2010
Virgil Pavlu,https://www.khoury.northeastern.edu/people/virgil-pavlu/,"Virgil Pavlu is an associate teaching professor at the Khoury College of Computer Sciences at Northeastern University. He earned his doctorate in computer science from Northeastern and his bachelor’s in mathematics from the University of Bucharest, Romania. Pavlu’s research interests include information retrieval, including diversity, learning to rank, metasearch, score distribution models, and relevance feedback. At Northeastern, he teaches machine learning, information retrieval, and algorithms.",Information retrieval; Machine learning; Algorithms,"PhD in Computer Science, Northeastern University; BS in Mathematics with minor in Computer Science, University of Bucharest — Romania",2011
Holly Jimison,https://www.khoury.northeastern.edu/people/holly-jimison/,"Holly B. Jimison is a professor of the practice in the Khoury College of Computer Sciences and the Bouvé College of Health Sciences at Northeastern University, based in Boston.",Personal health informatics; Pattern recognition; Decision support; Consumer health informatics,"PhD in Medical Information Sciences, Stanford University; BS in Mathematics, University of Illinois",2012
Misha Pavel,https://www.khoury.northeastern.edu/people/misha-pavel/,"Misha Pavel is a research professor in the Khoury College of Computer Sciences and the Bouvé College of Health Sciences at Northeastern University, based in Boston.",Behavioral informatics,"PhD in Experimental/Mathematical Psychology, New York University; MS in Electrical Engineering, Stanford University; BS in Electrical Engineering, Polytechnic Institute of Brooklyn",2013
Aarti Sathyanarayana,https://www.khoury.northeastern.edu/people/aarti-sathyanarayana/,"Aarti Sathyanarayana is an assistant professor in the Khoury College of Computer Sciences and the Bouvé College of Health Sciences at Northeastern University, based in Boston.",Digital health; Wearable devices; Digital phenotyping; Digital biomarker discovery,"PhD in Computer Science, University of Minnesota; MS in Computer Science, University of Minnesota; BS in Mathematics, University of Minnesota",2014
Amal Ahmed,https://www.khoury.northeastern.edu/people/amal-ahmed/,"Amal Ahmed is a professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Programming languages; Correct and secure compilation; Gradual typing; Safe language interoperability,"PhD in Computer Science, Princeton University; MS in Computer Science, Stanford University; BA in Computer Science and Economics, Brown University",2015
Jonathan Bell,https://www.khoury.northeastern.edu/people/jonathan-bell/,"Jonathan Bell is an associate professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston. He is a member of the Programming Research Laboratory.",Software engineering; Program analysis; Automated approaches to help developers write better software,"PhD in Computer Science, Columbia University; MPhil in Computer Science, Columbia University; MS in Computer Science, Columbia University; BS in Computer Science, Columbia University",2016
Matthias Felleisen,https://www.khoury.northeastern.edu/people/matthias-felleisen/,"Matthias Felleisen is a trustee professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Programming languages; Software engineering,"PhD in Computer Science, Indiana University; MS, The University of Arizona; BS in Industrial Engineering, Universität Karlsruhe — Germany",2017
Daniel Patterson,https://www.khoury.northeastern.edu/people/daniel-patterson/,"Daniel Patterson is an assistant teaching professor at the Khoury College of Computer Sciences at Northeastern University. He earned his bachelor’s from Brown University and his PhD from Northeastern University. He is broadly interested in the first few years of the curriculum: how we help a person get from no experience with Computer Science or programming to be able to have a productive first co-op. His background is in programming languages, and that influences how he approaches Fundamentals 1 & 2, which are at their core about teaching students how to use the fundamental tool of computer science: the programming language. Patterson is also interested in logic and specification, and how that can enable students to reason more effectively about the programs they write: potentially starting from the second semester, with Logic & Computation.",Computer science education logic and specification; Formal methods; Programming languages,"PhD, Northeastern University; BS, Brown University",2018
Olin Shivers,https://www.khoury.northeastern.edu/people/olin-shivers/,"Olin Shivers is a professor in the Khoury College of Computer Science at Northeastern University, based in Boston.",Programming languages; Systems and networking; Compilers,"PhD in Computer Science, Carnegie Mellon University; BS in Computer Science and Mathematics, Yale University",2019
Frank Tip,https://www.khoury.northeastern.edu/people/frank-tip/,"Frank Tip is a professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston. He was named an Amazon Scholar in 2024.",Programming languages; Software engineering,"PhD in Computer Science, University of Amsterdam — Netherlands",2020
Robert Platt,https://www.khoury.northeastern.edu/people/robert-platt/,"Robert Platt is an associate professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston. He is also affiliated with the College of Engineering.","Perception, planning, and control for robotic manipulation","PhD in Computer Science, University of Massachusetts Amherst",2021
Michael Everett,https://www.khoury.northeastern.edu/people/michael-everett/,"Michael Everett is an assistant professor in the Khoury College of Computer Sciences and the College of Engineering at Northeastern University, based in Boston.",Robotics; Motion planning; Reinforcement learning; Neural network verification; Control theory,"PhD in Mechanical Engineering, Massachusetts Institute of Technology; MS in Mechanical Engineering, Massachusetts Institute of Technology; BS in Mechanical Engineering, Massachusetts Institute of Technology",2022
Ian Gorton,https://www.khoury.northeastern.edu/people/ian-gorton/,"Ian Gorton is a professor of the practice and the director of mobility programs in the Khoury College of Computer Sciences at Northeastern University, based in Seattle.",,"PhD in Computer Science, Sheffield Hallam University — United Kingdom; BS, Sheffield Hallam University — United Kingdom",2023
Karl Lieberherr,https://www.khoury.northeastern.edu/people/karl-lieberherr/,"Karl Lieberherr is a professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Modularity in software development; Test-driven development for relational queries using neural networks; Socio-technical systems for problem solving in STEM areas involving competition and collaboration,"PhD, ETH Zurich — Switzerland; MS in mathematics, ETH Zurich — Switzerland",2024
Jan Vitek,https://www.khoury.northeastern.edu/people/jan-vitek/,"Jan Vitek is a professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Programming languages; Compilers; Program analysis; Memory management; Virtual machine; Type systems,"PhD in information systems, University of Geneva — Switzerland; MS in computer science, University of Victoria — Canada",2025
Peter Desnoyers,https://www.khoury.northeastern.edu/people/peter-desnoyers/,"Peter Desnoyers is an associate professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Integration of emerging storage technologies into existing software infrastructures; Algorithms for Flash storage; Shingled magnetic recording disk drives; Operating systems,"PhD in Computer Science, The University of Massachusetts, Amherst; MS in Electrical Engineering and Computer Science, Massachusetts Institute of Technology; BS in Electrical Engineering and Computer Science, Massachusetts Institute of Technology",2026
Guevara Noubir,https://www.khoury.northeastern.edu/people/guevara-noubir/,"Guevara Noubir is a professor and the executive director of cybersecurity programs in the Khoury College of Computer Sciences at Northeastern University, based in Boston. He is also the principal investigator of Northeastern University’s NSA/DHS-designated Center of Academic Excellence in Cybersecurity.",Theory and practice of privacy and security; Robustness of networked systems,"PhD in computer science, Swiss Federal Institute of Technology, Lausanne — Switzerland",2027
Scott Valcourt,https://www.khoury.northeastern.edu/people/scott-valcourt/,"Scott Valcourt is an associate teaching professor at the Roux Institute at Northeastern University's Portland campus. He teaches courses and learning modules in computer science to advance educational and research opportunities in Maine. His areas of focus include cyberinfrastructure, broadband expansion, telehealth, computer science education (K-20), cybersecurity, AR/VR/XR, and high-performance computing (HPC).",Systems and networking; Software engineering; Programming languages; Network science; Science of learning; Team science,"PhD in Engineering: Systems Design, University of New Hampshire; MS in Computer Science, University of New Hampshire; BA in Computer Science with Mathematics Emphasis, Saint Anselm College",2028
